local_path,source_url,fetch_date,file_size_bytes,sha256,tls_verified,tls_fallback_reason,data_label,official_flag,notes
data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,https://nasagrace.unl.edu/globaldata/current/gws_perc_025deg_GL.tif,2026-06-16,909660,d0d8c0d0c288268fc5e2e531fa226173a68bd266adbd34effd1af513a5038c6f,false,existing file reused,satellite-model,false,"NASA/NDMC GRACE-DA percentile GeoTIFF; supporting satellite/model signal only, not groundwater depth; existing file reused; no network TLS verification performed in this run."
data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,https://nasagrace.unl.edu/globaldata/current/rtzsm_perc_025deg_GL.tif,2026-06-16,1005430,e3b85addbcc68ce21d18f76977f819c57ae6cde90cf880baede263424e4025e0,false,existing file reused,satellite-model,false,"NASA/NDMC GRACE-DA percentile GeoTIFF; supporting satellite/model signal only, not groundwater depth; existing file reused; no network TLS verification performed in this run."
data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,https://nasagrace.unl.edu/globaldata/current/sfsm_perc_025deg_GL.tif,2026-06-16,1016380,43673cc879f1afbc165457d125b42d0d9835f637d195a208655d3141b1960db2,false,existing file reused,satellite-model,false,"NASA/NDMC GRACE-DA percentile GeoTIFF; supporting satellite/model signal only, not groundwater depth; existing file reused; no network TLS verification performed in this run."
